iso_code,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,daily_vaccinations_raw,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Year,Mu
MAR,2021-07,559631.6451612903,2973.1290322580644,2238.7972258064515,9463.290322580646,15.774193548387096,12.732677419354838,14985.535774193551,79.61293548387098,59.9493870967742,253.40322580645167,0.42238709677419356,0.34099999999999997,1.5477419354838708,,,,,,,,,22587.172413793105,6602562.3,176.8001666666667,0.6048275862068967,19450.032258064515,0.5208709677419355,0.10445161290322581,12.470967741935485,20745347.259259257,11212275.037037037,9533072.222222222,,182381.66666666666,130855.74193548386,55.55074074074073,30.02407407407408,25.527407407407413,,3503.967741935484,95619.32258064517,0.2561290322580645,61.35032258064515,37344787.0,80.07999999999997,29.600000000000016,6.769000000000004,4.209000000000002,7485.0130000000045,1.0,419.1460000000002,7.1399999999999935,0.8000000000000004,47.09999999999998,,1.1000000000000005,76.68,0.6859999999999999,,,,,95619.32258064517,0.2561290322580645,130855.74193548386,3503.967741935484,182381.66666666666,0.0,0.0,0.0,0.0,0.0,0.0,73.33,26.67,0.0,0.0,573.0,0.0
MAR,2021-08,757829.2258064516,7658.709677419355,7997.322612903226,11166.225806451614,92.38709677419355,86.60367741935484,20292.77129032258,205.08109677419358,214.14825806451614,299.0036451612903,2.473870967741935,2.3190967741935484,1.056774193548387,,,,,,,,,36153.96551724138,7594415.1,203.35936666666666,0.9681034482758618,37319.645161290326,0.9994193548387097,0.21312903225806454,4.725806451612902,28393533.296296295,16336605.444444444,12056927.851851853,,319929.4166666667,317828.48387096776,76.0314814814815,43.745925925925924,32.28592592592593,,8510.612903225807,175046.4193548387,0.46867741935483864,60.87129032258063,37344787.0,80.07999999999997,29.600000000000016,6.769000000000004,4.209000000000002,7485.0130000000045,1.0,419.1460000000002,7.1399999999999935,0.8000000000000004,47.09999999999998,,1.1000000000000005,76.68,0.6859999999999999,,,,,175046.4193548387,0.46867741935483864,317828.48387096776,8510.612903225807,319929.4166666667,,,,,,,,,,,,
MAR,2021-09,908288.2666666667,2404.1,2770.223833333334,13663.466666666667,53.93333333333333,61.09516666666666,24321.688199999997,64.37576666666668,74.17966666666665,365.8734999999999,1.4441333333333326,1.6359666666666668,0.6710000000000002,,,,,,,,,22263.375,8500078.925925925,227.61092592592593,0.5961250000000001,23354.1,0.6253,0.11273333333333335,9.399999999999999,36776850.538461536,20163028.769230768,16613821.76923077,,331993.6666666667,270865.1,98.47999999999999,53.9923076923077,44.48769230769231,,7253.133333333333,130284.2,0.34890000000000004,64.80999999999996,37344787.0,80.07999999999997,29.600000000000016,6.769000000000004,4.209000000000002,7485.0130000000045,1.0,419.14600000000013,7.139999999999994,0.8000000000000004,47.09999999999999,,1.1000000000000005,76.68000000000002,0.6859999999999999,,,,,130284.2,0.34890000000000004,270865.1,7253.133333333333,331993.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,552.0,0.0
MAR,2021-10,941097.6129032258,421.741935483871,493.4285806451613,14518.193548387097,12.935483870967742,14.806387096774193,25200.24054838709,11.293129032258062,13.212838709677422,388.760870967742,0.3464193548387096,0.39641935483870977,0.665806451612903,,,,,,,,,12004.034482758621,8972842.166666666,240.27029999999996,0.3213793103448276,12440.58064516129,0.3330967741935484,0.0386451612903226,28.377419354838715,45023323.375,23424487.0,20912705.25,,,208950.5483870968,120.56,62.72375,55.99875,,5595.1612903225805,61800.87096774193,0.16535483870967743,65.9509090909091,37344787.0,80.07999999999997,29.600000000000016,6.769000000000004,4.209000000000002,7485.0130000000045,1.0,419.1460000000002,7.1399999999999935,0.8000000000000004,47.09999999999998,,1.1000000000000005,76.68,0.6859999999999999,,,,,61800.87096774193,0.16535483870967743,208950.5483870968,5595.1612903225805,,,,,,,,,,,,,
MAR,2021-11,947744.6,134.25,156.31425,14725.95,4.65,5.07855,25378.230099999993,3.5949499999999994,4.185700000000001,394.3241499999999,0.12440000000000002,0.13595000000000002,0.671,,,,,,,,,11549.8125,9263273.352941176,248.04717647058823,0.30931250000000005,11678.388888888889,0.31266666666666665,0.013722222222222228,76.61666666666666,48233953.25,24376656.25,22369058.0,,,67209.4705882353,129.1575,65.27250000000001,59.9,,1799.6470588235295,21200.0,0.05676470588235297,30.56,37344787.0,80.07999999999998,29.600000000000012,6.769000000000003,4.209000000000001,7485.013000000004,1.0,419.1459999999999,7.139999999999998,0.8000000000000002,47.100000000000016,,1.1,76.68000000000004,0.6859999999999999,,,,,21200.0,0.05676470588235297,67209.4705882353,1799.6470588235295,,,,,,,,,,,,,
MCO,2020-02,1.0,1.0,,,,,25.304,25.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.52,39520.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,-11.4,-12.21,-16.86,-288.4615385,,,,,,,,,,,,,,,,,
MCO,2020-03,13.96774193548387,1.6451612903225807,1.5344814814814811,1.0,0.3333333333333333,0.01588888888888889,353.43493548387096,41.62861290322581,38.825740740740734,25.304,8.434666666666667,0.40166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.42580645161291,39520.0,19347.5,,,,,,,5.46,,,,13.800000000000008,86.75,,-0.3,-0.22,26.49,-7.591093117000001,,,,,,,,,,,,,,,,,
MCO,2020-04,86.86666666666666,1.4333333333333333,1.7476666666666667,2.3333333333333335,0.1,0.11916666666666664,2198.043333333333,36.2686,44.221199999999996,59.04213333333332,2.5303666666666667,3.0124999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96000000000002,39520.0,19347.5,,,,,,,5.459999999999999,,,,13.800000000000008,86.75,,4.8,2.74,12.78,121.4574899,,,,,,,,,,,,,,,,,
MCO,2020-05,96.54838709677419,0.12903225806451613,0.11993548387096771,4.0,0.0,0.0,2443.0259354838713,3.265032258064516,3.0319354838709676,101.21500000000003,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.59548387096771,39520.0,19347.5,,,,,,,5.46,,,,13.800000000000008,86.75,,5.5,2.59,1.88,139.1700405,,,,,,,,,,,,,,,,,
MCO,2020-06,100.0,0.13333333333333333,0.14296666666666666,4.0,0.0,0.0,2530.3645333333334,3.3738666666666663,3.614833333333334,101.21500000000002,0.0,0.0,0.21999999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,39520.0,19347.5,,,,,,,5.459999999999999,,,,13.800000000000008,86.75,,8.6,3.46,8.64,217.611336,,,,,,,,,,,,,,,,,
MCO,2020-07,110.87096774193549,0.5483870967741935,0.4930967741935483,4.0,0.0,0.0,2805.4394516129046,13.876193548387096,12.476967741935486,101.21500000000003,0.0,0.0,0.6032258064516128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,39520.0,19347.5,,,,,,,5.46,,,,13.800000000000008,86.75,,5.5,1.91,-7.73,139.1700405,,,,,,,,,,,,,,,,,
MCO,2020-08,142.19354838709677,1.096774193548387,1.165806451612903,4.0,0.0,0.0,3598.0148064516125,27.752354838709678,29.501419354838703,101.21500000000003,0.0,0.0,0.9764516129032258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,39520.0,19347.5,,,,,,,5.46,,,,13.800000000000008,86.75,,12.4,3.82,19.11,313.7651822,,,,,,,,,,,,,,,,,
MCO,2020-09,179.63333333333333,2.1333333333333333,1.9000666666666668,1.3,-0.06666666666666667,-0.07150000000000002,4545.3779,53.98113333333333,48.07696666666667,32.89496666666665,-1.6869,-1.8072666666666666,0.9896666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.40933333333331,39520.0,19347.5,,,,,,,5.459999999999999,,,,13.800000000000008,86.75,,18.1,4.99,14.88,457.9959514,,,,,,,,,,,,,,,,,
MCO,2020-10,266.5483870967742,4.548387096774194,3.9492903225806453,2.0,0.0,0.004612903225806452,6744.645483870968,115.0907741935484,99.93193548387097,50.60699999999998,0.0,0.11661290322580646,1.2996774193548384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.03999999999998,39520.0,19347.5,,,,,,,5.46,,,,13.800000000000008,86.75,,22.8,5.63,11.11,576.9230769,,,,,,,,,,,,,,,,,
