,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,Omicron,date,iso_code,month_yr
1732,1803.511,38.416,64.944,0.0,1.43,4.33,20.205,89.76100000000002,1.11,0.037000000000000005,27.0,0.0,0.0,0.0,0.0,0.0,50.0,2078723.0,102.619,44.5,19.062,12.93,31400.84,0.1,153.493,7.25,20.1,25.0,4.5,81.32,0.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,2020-09-14,SVN,09-2020
1733,848.329,28.07800000000001,7.2920000000000025,0.183,1.22,3.57,46.04,65.414,0.797,0.035,28.4,0.0,0.0,0.0,0.0,0.0,64.81,32776195.0,96.25399999999999,29.9,6.2929999999999975,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,1.9,76.16,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,2020-10-26,MYS,10-2020
1734,351.579,0.53,4.685,0.0,0.75,0.719585601219336,6.0984868118346185,168.153,1.3519999999999999,0.0,2551.2,0.0,0.0,0.0,0.0,0.0,48.61,5122600.0,18.206,37.9,15.322000000000001,9.72,36085.843,0.1,128.797,8.08,14.8,17.2,2.61,82.29,0.9309999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,2020-09-14,NZL,09-2020
1735,15487.848,127.445,242.91400000000002,4.3260000000000005,1.27,9.411081813600493,150.58576034169346,213.891,0.784,0.163,6.2,43.67210827136932,34.1316683952527,10.334695985994392,12093.0,0.696,79.63,21497306.0,341.955,34.1,10.068999999999999,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,3.6,76.98,0.782,0.696,12093.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,13.0,1.0,0.0,0.0,0.0,2021-08-09,LKA,08-2021
1736,3426.285,146.224,55.128,1.858,1.33,0.0,0.0,31.046999999999997,0.636,0.23,4.3,0.0,0.0,0.0,0.0,0.0,76.85,60041996.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,2.32,64.13,0.7090000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,0.0,0.0,0.0,2020-07-06,ZAF,07-2020
1737,24607.959,50.44600000000001,774.008,4.935,0.57,0.0,0.0,141.75799999999995,0.501,0.10099999999999999,9.9,20.115558386638334,17.11714111293945,7.156317695443304,18376.035796439595,0.15078902174292774,64.81,60041996.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,2.32,64.13,0.7090000000000001,0.15078891223522747,18857.94823918967,375.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,2021-02-08,ZAF,02-2021
1738,21863.906000000006,64.768,141.612,0.183,0.94,17.456280749908625,18.479,990.025,2.503,0.026000000000000002,38.6,40.54,29.4,11.14,5069.0,0.231,63.89,5465629.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,3.6,82.4,0.9570000000000001,0.231,5069.0,6.0,0.0,0.0,0.0,0.0,3.0,42.0,1775.0,11.0,0.0,0.0,0.0,2021-05-17,NOR,05-2021
1739,16108.478000000001,109.46,433.08099999999996,0.917,1.6,6.021,47.161,444.375,2.623,0.042,24.0,24.72097642487143,20.109613069388875,7.5479840593502034,19226.504042972723,0.15078979566122747,72.22,4982904.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,2.96,82.3,0.955,0.15078971377087294,19696.508505775728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,88.0,0.0,0.0,0.0,2020-12-21,IRL,12-2020
1740,84792.015,130.2,1623.536,1.8419999999999999,0.79,43.588,245.63299999999998,1225.66736020555,5.0280000000000005,0.031,32.3,55.14,38.85,16.66,7802.0,0.516,54.63,67564251.0,122.57799999999999,42.0,19.718,13.079,38605.671,0.1,86.06,4.77,30.1,35.6,5.98,82.66,0.9009999999999999,0.516,7802.0,423.0,0.0,79.0,2.0,1.0,66.0,97.0,2351.0,110.0,5.0,1.0,0.0,2021-05-31,FRA,05-2021
1741,59509.71900000001,221.825,846.8480000000003,3.3939999999999997,0.83,31.561,86.88,647.1531500490462,1.247,0.08336475802570487,161.9098442608124,3.53,3.012684065802569,0.46853462226997733,1829.0,0.157,78.7,17173094.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,0.1,109.361,5.29,24.4,27.3,3.32,82.28,0.9440000000000001,0.157,1829.0,47.0,0.0,4.0,0.0,0.0,5.0,0.0,722.0,1491.0,0.0,0.0,0.0,2021-02-08,NLD,02-2021
1742,82846.91,37.105,1672.81,0.225,1.07,7.081,24.19400000000001,1105.076,3.685,0.01,99.3,46.51,32.46,14.45,8388.0,0.433,62.04,10167923.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,3.39,82.05,0.8640000000000001,0.433,8388.0,22.0,0.0,25.0,1.0,0.0,11.0,63.0,891.0,48.0,0.0,0.0,0.0,2021-05-17,PRT,05-2021
1743,47668.971,244.472,4404.7829999999985,21.425,1.06,49.8862645845536,860.6787671943387,99.024,0.396,0.174,5.7,3.27,2.03,1.23,382.0,0.011000000000000001,83.33,33359415.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,76.1,1.6,76.74,0.777,0.011000000000000001,382.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,7.0,25.0,131.0,0.0,0.0,2021-04-05,PER,04-2021
1744,82111.422,117.21799999999999,1060.1789999999999,0.96,1.15,11.935172726448755,16.69399412092912,1027.075,2.648,0.044000000000000004,22.6,70.6,37.29,33.31,1046.0,0.049,23.15,10269022.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,44.0,76.1,1.4,74.53,0.7290000000000001,0.049,1046.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,2021-10-18,JOR,10-2021
1745,47856.832,97.132,946.837,1.462,0.89,11.64,52.178000000000004,820.257,3.361,0.028999999999999998,34.6,20.23,14.22,6.01,3719.0,0.231,84.26,4982904.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,2.96,82.3,0.955,0.231,3719.0,7.0,3.0,4.0,0.0,1.0,2.0,6.0,1318.0,42.0,0.0,0.0,0.0,2021-04-05,IRL,04-2021
1746,198831.59699999998,1522.6879999999999,3070.4309999999996,8.325,1.13,90.84232611493029,568.0667540526854,2900.710388128952,10.672,0.16399999999999998,6.1,125.4,61.96,59.29,4628.0,0.138,48.0197160833289,10724553.0,137.17600000000002,43.3,19.027,11.58,32605.90600000001,0.1,227.485,6.82,30.5,38.3,6.63,79.38,0.9,0.138,4628.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,1.0,2021-11-29,CZE,11-2021
1747,45265.74400000001,310.281,484.744,2.9539999999999997,1.27,0.3198600203134703,194.8208687812437,357.7607189048033,3.6060075541131154,0.09925945469261593,130.639583263041,37.54352853934503,24.36739100007532,13.40048261028703,3441.0,0.409,41.67,5223376.0,14.98,30.7,2.355,1.53,37960.709,77.6,266.342,12.61,0.5,15.6,1.6,77.86,0.813,0.409,3441.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,12.0,0.0,0.0,0.0,0.0,2021-06-14,OMN,06-2021
1748,13310.24,46.718,234.27,1.0590000000000002,0.97,0.0,124.11310383325508,134.079,0.43799999999999994,0.107,9.4,11.88,8.71,3.18,1747.0,0.09300000000000001,71.76,111046910.0,351.87300000000016,25.2,4.803,2.661,7599.188,0.1,370.43699999999995,7.07,7.8,40.8,1.0,71.23,0.718,0.09300000000000001,1747.0,335.0,0.0,0.0,0.0,0.0,0.0,252.0,230.0,69.0,0.0,0.0,0.0,2021-07-12,PHL,07-2021
1749,28307.791,88.059,563.73,2.9810000000000003,0.88,11.518784572609654,313.4078649525529,751.4,2.2680000000000002,0.039,25.8,29.94490448957273,14.11699117110183,15.473358450813407,607.0,0.045,45.83,145912022.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,8.05,72.58,0.8240000000000001,0.045,607.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,285.0,0.0,0.0,0.0,2021-02-22,RUS,02-2021
1750,1049.123,0.626,34.202,0.155,0.62,4.386429101337001,38.51213699637242,293.286,1.35,0.0,2156.0,0.0,0.0,0.0,0.0,0.0,68.06,25788217.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.9440000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,0.0,0.0,0.0,2020-09-28,AUS,09-2020
1751,8069.982,12.329,113.34100000000001,0.07,1.22,0.0,69.87360455174485,120.22323752859029,0.535,0.023,43.4,1.65,1.36,0.29,836.0,0.069,63.43,1393409033.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,0.069,836.0,28.0,1.0,0.0,517.0,0.0,47.0,91.0,405.0,1163.0,0.0,0.0,0.0,2021-03-08,IND,03-2021
1752,29961.5,99.12299999999999,860.9730000000003,2.932,1.12,34.052,219.21931656268453,25.715204826882655,1.995,0.005496107126349292,103.35890033617865,9.68,6.54,3.14,2689.0,0.203,77.78,83900471.0,237.016,46.6,21.453000000000007,15.957,45229.245,77.6,156.139,8.31,28.2,33.1,8.0,81.33,0.9470000000000001,0.203,2689.0,266.0,2.0,27.0,1.0,1.0,53.0,0.0,6530.0,4618.0,10.0,0.0,0.0,2021-03-08,DEU,03-2021
