Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,total_vaccinations_per_hundred,gdp_per_capita,aged_70_older,life_expectancy,new_cases_smoothed_per_million,new_deaths_smoothed_per_million
46.72,0.0,0.73,2.92,0.0,5.11,0.0,23.36,21.16,0.0,0.0,0.595,5819.495,1.362,61.15,2.463,0.038
37.35,0.0,0.0,1.2,0.0,2.41,2.41,25.3,31.33,0.0,0.0,1.17,5819.495,1.362,61.15,4.079,0.038
50.0,0.0,0.0,0.0,0.0,0.0,2.94,32.35,14.71,0.0,0.0,2.78,5819.495,1.362,61.15,5.991,0.084
30.51,0.0,0.0,0.0,0.0,0.0,16.95,50.85,1.69,0.0,0.0,4.39,5819.495,1.362,61.15,3.642,0.097
26.09,0.0,0.0,0.0,0.0,0.0,50.0,19.57,4.34,0.0,0.0,4.59,5819.495,1.362,61.15,3.178,0.101
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,79.015,67293.483,0.526,77.97,59.31,0.915
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,60.555,67293.483,0.526,77.97,87.464,0.343
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,79.015,67293.483,0.526,77.97,38.134,0.172
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,79.015,67293.483,0.526,77.97,54.649,0.143
1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.46,0.0,0.0,79.015,67293.483,0.526,77.97,42.166,0.114
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,60.555,67293.483,0.526,77.97,92.94,0.114
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,97.1,0.0,0.0,60.555,67293.483,0.526,77.97,108.096,0.243
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,9.68,67293.483,0.526,77.97,138.938,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,95.52,0.0,0.0,21.16,67293.483,0.526,77.97,121.551,0.286
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,98.25,0.0,0.0,21.16,67293.483,0.526,77.97,124.64,0.315
2.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,92.5,0.0,0.0,21.16,67293.483,0.526,77.97,123.124,0.3
3.87,0.65,0.0,0.0,0.0,0.65,0.0,23.23,71.6,0.0,0.0,8.46,67293.483,0.526,77.97,169.708,0.315
1.25,0.0,0.0,0.0,0.0,0.0,0.0,41.25,57.5,0.0,0.0,11.68,67293.483,0.526,77.97,260.947,0.415
8.39,0.0,0.0,0.0,0.0,0.7,0.0,51.05,39.86,0.0,0.0,25.73,67293.483,0.526,77.97,354.802,0.672
4.63,0.0,0.0,0.0,0.0,2.16,0.0,67.59,25.62,0.0,0.0,44.18,67293.483,0.526,77.97,328.207,1.015
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0719444444444444,54.53,18933.907,7.441,76.67,4.357,0.169
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,54.53,18933.907,7.441,76.67,13.335,0.266
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.4850000000000003,18933.907,7.441,76.67,19.437,0.429
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.4850000000000003,18933.907,7.441,76.67,38.047,0.592
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.4850000000000003,18933.907,7.441,76.67,56.944,0.946
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.4850000000000003,18933.907,7.441,76.67,86.17,1.472
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.4850000000000003,18933.907,7.441,76.67,123.189,2.362
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.35,18933.907,7.441,76.67,141.768,3.289
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.365,18933.907,7.441,76.67,209.459,4.053
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.365,18933.907,7.441,76.67,242.572,4.818
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,4.99,18933.907,7.441,76.67,259.945,8.241
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,4.99,18933.907,7.441,76.67,294.455,8.514
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,4.99,18933.907,7.441,76.67,312.112,8.097
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.25,1.75,0.0,0.365,18933.907,7.441,76.67,211.026,7.154
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.6050000000000001,18933.907,7.441,76.67,176.19,4.37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.4850000000000003,18933.907,7.441,76.67,130.86,3.627
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.4850000000000003,18933.907,7.441,76.67,137.564,2.995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,97.83,0.0,0.0,0.09,18933.907,7.441,76.67,183.019,2.399
0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,96.42,1.79,0.0,0.64,18933.907,7.441,76.67,211.041,3.765
0.0,4.76,3.17,0.0,0.0,0.0,0.0,6.35,84.13,1.59,0.0,1.12,18933.907,7.441,76.67,161.784,3.599
0.0,1.89,3.77,0.0,0.0,0.0,0.0,0.0,90.57,3.77,0.0,1.58,18933.907,7.441,76.67,127.471,3.233
0.0,5.26,7.02,0.0,0.0,0.0,0.0,8.77,75.44,3.51,0.0,3.39,18933.907,7.441,76.67,133.664,3.27
0.0,2.42,13.33,0.0,1.21,0.0,0.0,12.73,66.67,3.64,0.0,6.89,18933.907,7.441,76.67,157.517,2.616
0.0,1.76,25.88,0.0,2.35,0.0,0.0,18.82,38.25,12.94,0.0,9.34,18933.907,7.441,76.67,264.841,2.694
0.0,2.22,30.37,0.0,0.37,0.0,0.0,12.59,42.97,11.48,0.0,13.89,18933.907,7.441,76.67,508.945,4.758
0.32,1.93,41.8,0.0,0.96,0.0,0.32,12.86,23.16,18.33,0.0,17.63,18933.907,7.441,76.67,443.245,8.473
0.0,2.3,53.77,0.0,0.66,0.33,0.0,12.46,15.07,15.41,0.0,21.93,18933.907,7.441,76.67,535.157,10.043
0.0,1.49,55.76,0.0,1.12,0.0,0.0,10.78,7.8,23.05,0.0,26.88,18933.907,7.441,76.67,688.036,11.317
0.0,0.26,64.81,0.0,0.53,0.0,0.26,7.67,4.25,22.22,0.0,35.92,18933.907,7.441,76.67,525.772,12.79
0.0,0.29,66.29,0.0,0.29,0.0,0.57,8.86,2.27,21.43,0.0,43.75,18933.907,7.441,76.67,458.09,11.44
0.0,0.0,71.17,0.0,0.0,0.0,5.71,3.3,3.3,16.22,0.0,54.52,18933.907,7.441,76.67,345.153,8.564
0.0,0.0,53.95,0.0,0.0,0.0,14.47,4.61,1.64,25.0,0.0,65.52,18933.907,7.441,76.67,282.007,6.735
0.0,0.0,56.19,0.0,0.0,0.0,21.65,2.84,1.02,17.78,0.0,76.53,18933.907,7.441,76.67,257.0,6.002
0.0,0.0,33.86,0.0,0.0,0.0,41.27,1.06,0.53,23.28,0.0,85.81,18933.907,7.441,76.67,161.931,4.711
0.0,0.0,57.09,0.0,0.0,0.0,24.25,1.12,0.0,16.42,0.0,97.94,18933.907,7.441,76.67,90.233,3.339
0.0,0.0,32.04,0.0,0.0,0.0,53.4,0.0,0.0,14.56,0.0,107.48,18933.907,7.441,76.67,45.618,2.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0185365853658536,0.79,44648.71,10.129,83.44,0.681,0.006
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.79,44648.71,10.129,83.44,0.321,0.017
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.79,44648.71,10.129,83.44,0.255,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.79,44648.71,10.129,83.44,0.803,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.79,44648.71,10.129,83.44,5.102,0.011
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.79,44648.71,10.129,83.44,12.06,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.79,44648.71,10.129,83.44,18.984,0.36
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.79,44648.71,10.129,83.44,11.412,0.593
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.79,44648.71,10.129,83.44,4.243,0.731
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.79,44648.71,10.129,83.44,2.028,0.255
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.79,44648.71,10.129,83.44,0.626,0.155
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.79,44648.71,10.129,83.44,0.759,0.022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.79,44648.71,10.129,83.44,0.742,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.79,44648.71,10.129,83.44,0.327,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.79,44648.71,10.129,83.44,0.471,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,97.96,0.0,0.0,0.79,44648.71,10.129,83.44,0.415,0.0
1.41,2.82,0.0,0.0,0.0,0.0,0.0,4.23,91.54,0.0,0.0,0.79,44648.71,10.129,83.44,0.947,0.0
3.85,1.92,0.0,0.0,0.0,0.0,0.0,8.65,85.58,0.0,0.0,0.79,44648.71,10.129,83.44,0.931,0.0
5.41,6.76,0.0,0.0,0.0,1.35,0.0,28.38,58.1,0.0,0.0,0.79,44648.71,10.129,83.44,0.648,0.0
6.0,2.0,0.0,0.0,0.0,1.0,0.0,44.0,47.0,0.0,0.0,0.79,44648.71,10.129,83.44,0.271,0.0
5.17,3.45,0.0,0.0,0.0,1.72,8.62,37.93,43.11,0.0,0.0,0.79,44648.71,10.129,83.44,0.205,0.0
2.47,3.7,0.0,0.0,0.0,1.23,1.23,77.78,13.59,0.0,0.0,0.01,44648.71,10.129,83.44,0.177,0.0
7.04,1.41,1.41,0.0,2.82,1.41,0.0,43.66,42.25,0.0,0.0,0.37,44648.71,10.129,83.44,0.415,0.0
5.74,0.0,0.82,1.64,0.82,0.82,0.82,50.0,39.34,0.0,0.0,1.21,44648.71,10.129,83.44,0.41,0.0
7.38,0.0,1.64,1.64,0.0,0.0,2.46,54.92,31.14,0.82,0.0,3.32,44648.71,10.129,83.44,0.382,0.0
12.74,0.64,1.27,10.83,0.0,0.64,21.66,46.5,5.72,0.0,0.0,6.41,44648.71,10.129,83.44,0.704,0.0
3.92,0.0,0.98,8.33,0.49,0.0,41.18,30.88,14.22,0.0,0.0,8.98,44648.71,10.129,83.44,0.737,0.0
2.56,0.0,0.0,4.27,0.0,2.56,38.46,41.88,10.27,0.0,0.0,12.34,44648.71,10.129,83.44,0.249,0.0
3.7,0.0,0.0,60.19,0.93,0.93,17.59,12.04,4.62,0.0,0.0,16.92,44648.71,10.129,83.44,0.493,0.0
5.3,0.0,0.0,28.79,0.0,0.0,41.67,16.67,6.81,0.0,0.0,23.0,44648.71,10.129,83.44,0.377,0.0
1.21,0.0,0.0,3.64,0.0,0.0,84.62,7.69,2.84,0.0,0.0,29.09,44648.71,10.129,83.44,1.075,0.0
0.66,0.0,0.0,0.0,0.0,0.0,95.4,3.42,0.52,0.0,0.0,35.95,44648.71,10.129,83.44,2.725,0.011
0.0,0.0,0.0,0.0,0.0,0.0,99.64,0.36,0.0,0.0,0.0,44.13,44648.71,10.129,83.44,6.348,0.039
0.0,0.0,0.0,0.0,0.0,0.0,99.89,0.11,0.0,0.0,0.0,54.2,44648.71,10.129,83.44,12.043,0.1
0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.1,0.0,0.0,0.0,67.52,44648.71,10.129,83.44,31.338,0.094
0.0,0.0,0.0,0.0,0.0,0.0,99.94,0.03,0.03,0.0,0.0,82.23,44648.71,10.129,83.44,59.568,0.255
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,97.2,44648.71,10.129,83.44,65.417,0.421
0.0,0.0,0.0,0.0,0.0,0.0,99.93,0.0,0.07,0.0,0.0,112.05,44648.71,10.129,83.44,82.48,0.56
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,127.4,44648.71,10.129,83.44,88.003,0.537
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,138.92,44648.71,10.129,83.44,61.761,0.571
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,146.72,44648.71,10.129,83.44,48.455,0.316
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.2914705882352941,77.805,45436.686,13.748,81.54,4.123,0.316
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,77.805,45436.686,13.748,81.54,4.265,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,77.805,45436.686,13.748,81.54,30.694,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,37.625,45436.686,13.748,81.54,62.874,0.174
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,37.625,45436.686,13.748,81.54,75.417,0.363
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.0799999999999996,45436.686,13.748,81.54,116.932,0.585
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.235,45436.686,13.748,81.54,273.927,1.39
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,39.035,45436.686,13.748,81.54,706.618,4.66
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,39.035,45436.686,13.748,81.54,659.068,9.036
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,98.54,0.0,0.0,17.945,45436.686,13.748,81.54,367.084,11.264
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.235,45436.686,13.748,81.54,242.048,14.297
0.32,0.0,0.0,0.0,0.0,0.0,0.0,4.79,94.89,0.0,0.0,0.06,45436.686,13.748,81.54,219.995,6.73
0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.82,64.18,0.0,0.0,0.41,45436.686,13.748,81.54,234.56,6.161
33.73,0.0,0.0,0.0,0.0,0.0,0.4,39.76,26.11,0.0,0.0,2.38,45436.686,13.748,81.54,170.359,5.197
19.37,0.0,0.0,0.0,0.0,1.31,0.0,22.25,57.07,0.0,0.0,4.1,45436.686,13.748,81.54,148.085,4.013
3.19,0.0,0.0,0.0,0.0,0.25,0.0,57.99,38.57,0.0,0.0,6.49,45436.686,13.748,81.54,188.495,2.78
11.18,0.0,0.0,0.0,0.0,0.88,0.0,66.89,21.05,0.0,0.0,9.82,45436.686,13.748,81.54,254.828,2.496
2.83,0.0,0.0,0.0,0.0,0.0,0.0,84.98,12.19,0.0,0.0,15.36,45436.686,13.748,81.54,333.341,3.112
1.37,0.0,0.0,0.0,0.0,0.34,0.0,92.78,5.51,0.0,0.0,20.53,45436.686,13.748,81.54,338.554,3.27
3.4,0.0,0.28,0.0,0.28,0.0,0.57,87.54,7.93,0.0,0.0,28.77,45436.686,13.748,81.54,262.079,3.412
0.61,0.0,0.0,0.0,0.3,0.91,1.52,88.15,8.51,0.0,0.0,36.56,45436.686,13.748,81.54,199.932,2.559
0.16,0.0,0.97,0.0,0.0,0.0,0.48,87.88,5.99,0.0,0.0,46.42,45436.686,13.748,81.54,89.682,1.39
0.77,0.0,2.83,0.0,0.0,0.0,2.83,82.52,5.91,0.0,0.0,57.74,45436.686,13.748,81.54,48.577,0.885
1.01,0.0,2.52,0.0,0.0,0.0,43.07,47.36,5.79,0.0,0.0,71.15,45436.686,13.748,81.54,26.113,0.348
0.13,0.0,0.27,0.0,0.0,0.0,59.07,38.53,2.0,0.0,0.0,84.46,45436.686,13.748,81.54,10.332,0.332
0.0,0.0,0.0,0.0,0.0,0.2,88.32,10.69,0.79,0.0,0.0,96.6,45436.686,13.748,81.54,15.592,0.158
0.0,0.0,0.0,0.0,0.0,0.0,98.96,1.04,0.0,0.0,0.0,105.24,45436.686,13.748,81.54,40.821,0.047
0.16,0.0,0.32,0.16,0.0,0.0,98.88,0.48,0.0,0.0,0.0,111.34,45436.686,13.748,81.54,57.819,0.174
0.0,0.0,0.0,0.0,0.0,0.0,99.68,0.0,0.32,0.0,0.0,114.9,45436.686,13.748,81.54,127.912,0.095
0.17,0.0,0.17,0.0,0.0,0.0,99.66,0.0,0.0,0.0,0.0,116.93,45436.686,13.748,81.54,164.83,0.3
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,119.12,45436.686,13.748,81.54,218.968,0.885
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,121.59,45436.686,13.748,81.54,205.793,0.916
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,124.6,45436.686,13.748,81.54,239.189,1.169
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,127.71,45436.686,13.748,81.54,537.87,1.706
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.04875,46.475,42658.576,12.849,81.63,39.078,9.616
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,46.475,42658.576,12.849,81.63,21.897,2.849
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,46.475,42658.576,12.849,81.63,5.526,0.43
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,46.475,42658.576,12.849,81.63,8.56,0.516
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,46.475,42658.576,12.849,81.63,17.034,0.282
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,46.475,42658.576,12.849,81.63,47.724,0.344
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,46.475,42658.576,12.849,81.63,48.068,0.798
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,46.475,42658.576,12.849,81.63,38.612,-1.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.15,42658.576,12.849,81.63,68.0,0.221
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.15,42658.576,12.849,81.63,146.894,0.454
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,16.28,42658.576,12.849,81.63,413.589,1.633
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,39.035,42658.576,12.849,81.63,1267.87,5.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,39.035,42658.576,12.849,81.63,685.614,16.678
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.275,42658.576,12.849,81.63,270.564,13.988
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,97.97,0.0,0.0,2.27,42658.576,12.849,81.63,187.531,9.1
0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.42,0.0,0.0,1.275,42658.576,12.849,81.63,217.374,7.897
2.89,0.0,0.0,0.0,0.0,0.0,0.0,20.66,76.45,0.0,0.0,0.01,42658.576,12.849,81.63,136.97,6.337
1.71,0.0,0.0,0.0,0.0,0.0,0.0,21.84,76.45,0.0,0.0,0.29,42658.576,12.849,81.63,176.061,4.569
3.05,0.07,0.0,0.0,0.0,0.15,0.0,41.06,55.67,0.0,0.0,2.26,42658.576,12.849,81.63,185.284,4.2
5.0,0.0,0.38,0.0,0.0,0.11,0.0,39.75,54.76,0.0,0.0,4.25,42658.576,12.849,81.63,185.026,3.672
7.75,0.0,2.43,0.0,0.0,0.0,0.0,48.2,41.62,0.0,0.0,6.54,42658.576,12.849,81.63,197.798,2.714
10.61,0.0,3.58,0.0,0.0,0.49,0.0,60.46,24.86,0.0,0.0,9.16,42658.576,12.849,81.63,205.265,2.284
7.5,0.0,4.77,0.0,0.0,0.2,0.0,75.2,12.33,0.0,0.0,13.49,42658.576,12.849,81.63,360.78,2.247
3.52,0.0,6.29,0.15,0.0,0.44,0.0,82.01,7.59,0.0,0.0,19.07,42658.576,12.849,81.63,368.775,3.451
2.2,0.0,9.65,0.07,0.0,0.55,0.31,82.14,5.08,0.0,0.0,27.56,42658.576,12.849,81.63,299.62,3.426
1.86,0.0,8.12,0.21,0.0,0.18,2.94,80.76,5.93,0.0,0.0,35.27,42658.576,12.849,81.63,255.544,3.156
2.16,0.0,10.1,0.1,0.0,0.06,3.15,80.69,3.74,0.0,0.0,47.06,42658.576,12.849,81.63,184.449,1.719
0.75,0.0,9.93,0.0,0.0,0.03,6.37,79.91,2.94,0.0,0.0,59.22,42658.576,12.849,81.63,149.571,1.253
0.95,0.0,10.33,0.0,0.0,0.0,13.08,73.58,1.56,0.0,0.0,76.54,42658.576,12.849,81.63,65.188,0.639
0.59,0.0,4.74,0.0,0.0,0.17,40.64,51.99,1.28,0.17,0.0,92.94,42658.576,12.849,81.63,47.135,0.332
0.19,0.0,2.22,0.0,0.04,0.0,79.15,17.26,0.98,0.04,0.0,106.84,42658.576,12.849,81.63,106.427,0.184
0.29,0.0,1.42,0.0,0.0,0.03,93.1,4.23,0.19,0.16,0.0,120.49,42658.576,12.849,81.63,128.816,0.184
0.05,0.0,0.28,0.0,0.0,0.0,98.45,1.01,0.08,0.03,0.0,132.0,42658.576,12.849,81.63,151.806,0.332
0.0,0.0,0.09,0.0,0.0,0.0,99.55,0.24,0.05,0.0,0.0,137.35,42658.576,12.849,81.63,168.533,0.516
0.0,0.0,0.0,0.0,0.0,0.0,99.71,0.12,0.12,0.0,0.0,140.63,42658.576,12.849,81.63,170.043,0.577
0.0,0.0,0.0,0.0,0.0,0.0,99.96,0.04,0.0,0.0,0.0,142.14,42658.576,12.849,81.63,178.124,0.54
0.0,0.0,0.0,0.0,0.0,0.0,99.86,0.11,0.03,0.0,0.0,143.54,42658.576,12.849,81.63,165.782,0.786
0.0,0.0,0.0,0.0,0.0,0.0,99.93,0.0,0.03,0.0,0.0,144.48,42658.576,12.849,81.63,275.967,1.044
0.0,0.0,0.0,0.0,0.0,0.0,99.82,0.0,0.18,0.0,0.0,145.34,42658.576,12.849,81.63,398.495,1.29
0.0,0.0,0.0,0.0,0.0,0.0,99.82,0.18,0.0,0.0,0.0,146.14,42658.576,12.849,81.63,904.425,2.493
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.17,3523.984,3.262,72.59,4.766,0.049
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.17,3523.984,3.262,72.59,10.063,0.131
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.17,3523.984,3.262,72.59,16.296,0.222
