,iso_code,date,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,daily_vaccinations_raw,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Year,Mu
51595,IDN,2021-05-17,Asia,Indonesia,1744045.0,4295.0,3638.571,48305.0,212.0,155.286,6310.731,15.541,13.166,174.78900000000004,0.767,0.562,0.97,,,,,,,,,36988.0,10446166.0,37.799,0.134,29791.0,0.108,0.122,8.2,people tested,22922067.0,13828102.0,9093965.0,,200970.0,93895.0,8.29,5.0,3.29,,340.0,47068.0,0.017,71.76,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.8640000000001,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,47068.0,0.017,93895.0,340.0,200970.0,3.74,0.0,0.0,0.0,0.0,0.68,7.48,5.1,83.0,0.0,237.0,0.0
51609,IDN,2021-05-31,Asia,Indonesia,1821703.0,5662.0,5796.571,50578.0,174.0,160.429,6591.733,20.488000000000003,20.975,183.014,0.63,0.581,1.09,,,,,,,,,53491.0,11251308.0,40.712,0.194,61588.0,0.223,0.094,10.6,people tested,27045507.0,16413672.0,10631835.0,,156318.0,317041.0,9.79,5.94,3.85,,1147.0,213440.0,0.077,71.76,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.8640000000001,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,213440.0,0.077,317041.0,1147.0,156318.0,0.73,0.0,0.0,0.0,0.0,0.0,27.47,2.93,68.87,0.0,237.0,0.0
51623,IDN,2021-06-14,Asia,Indonesia,1919547.0,8189.0,8073.714,53116.0,237.0,187.571,6945.776,29.631,29.214,192.197,0.858,0.679,1.28,,,,,,,,,52713.0,12080845.0,43.714,0.191,63875.0,0.231,0.126,7.9,people tested,32039910.0,20424048.0,11615862.0,,312530.0,438132.0,11.59,7.39,4.2,,1585.0,378304.0,0.13699999999999998,71.76,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.8640000000001,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,378304.0,0.13699999999999998,438132.0,1585.0,312530.0,0.2,0.0,0.0,0.0,0.0,0.0,71.74,0.4,27.66,0.0,237.0,0.0
51637,IDN,2021-06-28,Asia,Indonesia,2135998.0,20694.0,18793.286,57561.0,423.0,372.143,7728.991999999998,74.88,68.002,208.281,1.531,1.347,1.38,,,,,,,,,80308.0,13122594.0,47.483,0.29100000000000004,84172.0,0.305,0.223,4.5,people tested,40601932.0,27419898.0,13182034.0,,285949.0,667612.0,14.69,9.92,4.77,,2416.0,555668.0,0.201,71.76,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.8640000000001,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,555668.0,0.201,667612.0,2416.0,285949.0,0.0,0.0,0.0,0.0,0.0,0.0,87.89,0.1,12.01,0.0,237.0,0.0
51651,IDN,2021-07-12,Asia,Indonesia,2567630.0,40427.0,36257.286,67355.0,891.0,887.857,9290.829,146.283,131.195,243.72,3.224,3.213,1.35,,,,,,,,,123317.0,14770511.0,53.44600000000001,0.446,136190.0,0.493,0.266,3.8,people tested,51404659.0,36368191.0,15036468.0,,126292.0,723780.0,18.6,13.16,5.44,,2619.0,580846.0,0.21,71.76,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.8640000000001,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,580846.0,0.21,723780.0,2619.0,126292.0,0.0,0.0,0.0,0.0,0.0,0.0,92.34,0.93,6.73,0.0,237.0,0.0
51665,IDN,2021-07-26,Asia,Indonesia,3194733.0,28228.0,40428.571,84766.0,1487.0,1406.571,11559.966,102.141,146.289,306.721,5.381,5.09,0.99,,,,,,,,,,17008799.0,61.545,,155336.0,0.562,0.26,3.8,people tested,62858198.0,44728320.0,18129878.0,,481720.0,623188.0,22.74,16.18,6.56,,2255.0,376113.0,0.136,71.76,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.8640000000001,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,376113.0,0.136,623188.0,2255.0,481720.0,0.0,0.0,0.0,0.0,0.0,0.0,95.99,0.16,3.85,0.0,237.0,0.0
51679,IDN,2021-08-09,Asia,Indonesia,3686740.0,20709.0,31991.429,108571.0,1475.0,1611.429,13340.267,74.934,115.759,392.858,5.3370000000000015,5.831,0.85,,,,,,,,,99387.0,19031741.0,68.865,0.36,135633.0,0.491,0.236,4.2,people tested,75662618.0,51181322.0,24481296.0,,1387355.0,1005959.0,27.38,18.52,8.86,,3640.0,499263.0,0.181,71.76,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.8640000000001,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,499263.0,0.181,1005959.0,3640.0,1387355.0,0.0,0.0,0.0,0.0,0.0,0.0,98.06,0.0,1.94,0.0,237.0,0.0
51693,IDN,2021-08-23,Asia,Indonesia,3989060.0,9604.0,16760.286,127214.0,842.0,1197.286,14434.195,34.751999999999995,60.646,460.317,3.047,4.332,0.72,,,,,,,,,,,,,101373.0,0.3670000000000001,0.165,6.0,people tested,89825940.0,57779716.0,32046224.0,,884765.0,988325.0,32.5,20.91,11.6,,3576.0,485291.0,0.17600000000000002,71.76,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.8640000000001,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,485291.0,0.17600000000000002,988325.0,3576.0,884765.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,237.0,0.0
51707,IDN,2021-09-06,Asia,Indonesia,4133433.0,4413.0,7738.0,136473.0,612.0,568.857,14956.601,15.968,28.0,493.82,2.214,2.0580000000000003,0.63,,,,,,,,,96507.0,22208725.0,80.361,0.349,121650.0,0.44,0.064,15.7,people tested,106677164.0,67827361.0,38849803.0,,1671338.0,1218214.0,38.6,24.54,14.06,,4408.0,743281.0,0.269,71.76,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.8640000000001,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,743281.0,0.269,1218214.0,4408.0,1671338.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,0.2,0.0,237.0,0.0
51721,IDN,2021-09-20,Asia,Indonesia,4192695.0,1932.0,3229.571,140634.0,166.0,209.857,15171.037,6.9910000000000005,11.686,508.876,0.601,0.759,0.62,,,,,,,,,,24372320.0,88.19,,167579.0,0.606,0.019,51.9,people tested,124882412.0,79657762.0,45224650.0,,232862.0,1244810.0,45.19,28.82,16.36,,4504.0,831154.0,0.301,66.2,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.8640000000001,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,831154.0,0.301,1244810.0,4504.0,232862.0,0.0,0.0,0.0,0.0,0.0,0.0,99.62,0.0,0.38,0.0,237.0,0.0
51735,IDN,2021-10-04,Asia,Indonesia,4220206.0,922.0,1543.286,142261.0,88.0,96.571,15270.584,3.3360000000000003,5.584,514.764,0.318,0.349,0.65,,,,,,,,,,,,,,,,,,147230613.0,94223690.0,53006923.0,,774115.0,1469942.0,53.27,34.09,19.18,,5319.0,925826.0,0.335,66.2,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.8640000000001,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,925826.0,0.335,1469942.0,5319.0,774115.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,237.0,0.0
51749,IDN,2021-10-18,Asia,Indonesia,4235384.0,626.0,976.0,142999.0,47.0,40.429,15325.505,2.265,3.532,517.434,0.17,0.146,0.74,,,,,,,,,,,,,,,,,,171169816.0,107981016.0,63188800.0,,934020.0,1891463.0,61.94,39.07,22.86,,6844.0,1094092.0,0.396,57.87,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.8640000000001,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,1094092.0,0.396,1891463.0,6844.0,934020.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,237.0,0.0
52188,IND,2020-05-11,Asia,India,70768.0,3607.0,3475.857,2294.0,82.0,104.0,50.788,2.589,2.494,1.646,0.059,0.075,1.33,,,,,,,,,64651.0,1673688.0,1.2009999999999998,0.046,80922.0,0.058,0.043,23.3,samples tested,,,,,,,,,,,,,,81.94,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,380.15,0.0
52202,IND,2020-05-25,Asia,India,144950.0,6414.0,6374.571,4172.0,148.0,145.143,104.025,4.603,4.575,2.994,0.106,0.104,1.28,,,,,,,,,90170.0,3033591.0,2.177,0.065,104400.0,0.075,0.061,16.4,samples tested,,,,,,,,,,,,,,81.94,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,111.0,0.0
52216,IND,2020-06-08,Asia,India,265928.0,8442.0,9651.143,7473.0,266.0,266.42900000000003,190.847,6.059,6.926,5.363,0.191,0.191,1.21,,,,,,,,,108048.0,4774434.0,3.426,0.078,133890.0,0.096,0.07200000000000001,13.9,samples tested,,,,,,,,,,,,,,87.5,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,99.84,0.0,111.0,0.0
52230,IND,2020-06-22,Asia,India,440215.0,14933.0,13874.857,14011.0,312.0,587.286,315.927,10.717,9.957,10.055,0.224,0.421,1.23,,,,,,,,,143267.0,6950493.0,4.988,0.103,168051.0,0.121,0.083,12.1,samples tested,,,,,,,,,,,,,,87.5,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,111.0,0.0
52244,IND,2020-07-06,Asia,India,719664.0,22251.0,21832.0,20159.0,466.0,466.571,516.477,15.969,15.668,14.467,0.334,0.335,1.22,,,,,,,,,180596.0,9969662.0,7.155,0.13,224471.0,0.161,0.097,10.3,samples tested,,,,,,,,,,,,,,87.5,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,111.0,0.0
52258,IND,2020-07-20,Asia,India,1155338.0,37132.0,35512.286,28082.0,585.0,622.143,829.145,26.648000000000003,25.486,20.153,0.42,0.446,1.25,,,,,,,,,256039.0,14047908.0,10.082,0.184,320236.0,0.23,0.111,9.0,samples tested,,,,,,,,,,,,,,87.5,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,111.0,0.0
52272,IND,2020-08-03,Asia,India,1855745.0,52050.0,53667.429,38938.0,803.0,790.0,1331.802,37.354,38.515,27.944000000000006,0.5760000000000001,0.5670000000000001,1.15,,,,,,,,,381027.0,20202858.0,14.499,0.273,485151.0,0.348,0.111,9.0,samples tested,,,,,,,,,,,,,,85.65,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,111.0,0.0
52286,IND,2020-08-17,Asia,India,2702681.0,55018.0,62000.857,51797.0,876.0,934.286,1939.618,39.484,44.496,37.173,0.629,0.6709999999999999,1.08,,,,,,,,,731697.0,30041400.0,21.56,0.525,779692.0,0.56,0.08,12.6,samples tested,,,,,,,,,,,,,,85.65,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,111.0,0.0
52300,IND,2020-08-31,Asia,India,3691166.0,69921.0,74834.714,65288.0,819.0,985.429,2649.018,50.18,53.706,46.855,0.588,0.7070000000000001,1.1,,,,,,,,,846278.0,42307914.0,30.363000000000003,0.607,915111.0,0.657,0.08199999999999999,12.2,samples tested,,,,,,,,,,,,,,85.65,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,111.0,0.0
52314,IND,2020-09-14,Asia,India,4930236.0,83809.0,92830.571,80776.0,1054.0,1143.0,3538.255,60.147,66.62100000000001,57.97,0.7559999999999999,0.82,1.05,,,,,,,,,978500.0,57239428.0,41.07899999999999,0.7020000000000001,1098274.0,0.7879999999999999,0.085,11.8,samples tested,,,,,,,,,,,,,,85.65,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,111.0,0.0
52328,IND,2020-09-28,Asia,India,6145291.0,70589.0,83232.571,96318.0,776.0,1054.714,4410.2559999999985,50.659,59.733,69.124,0.557,0.757,0.95,,,,,,,,,709394.0,71967230.0,51.648,0.509,1082091.0,0.777,0.077,13.0,samples tested,,,,,,,,,,,,,,83.8,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,111.0,0.0
52342,IND,2020-10-12,Asia,India,7175880.0,55342.0,70114.0,109856.0,706.0,898.143,5149.873,39.717,50.31800000000001,78.84,0.507,0.645,0.9,,,,,,,,,994851.0,87872093.0,63.063,0.7140000000000001,1127100.0,0.809,0.062,16.1,samples tested,,,,,,,,,,,,,,73.61,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,111.0,0.0
52356,IND,2020-10-26,Asia,India,7946429.0,36470.0,49909.429,119502.0,488.0,615.0,5702.8690000000015,26.173,35.81800000000001,85.762,0.35,0.441,0.88,,,,,,,,,939309.0,103462778.0,74.252,0.674,1196972.0,0.8590000000000001,0.042,24.0,samples tested,,,,,,,,,,,,,,64.35,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,99.35,0.0,111.0,0.0
52370,IND,2020-11-09,Asia,India,8591730.0,38073.0,46301.0,127059.0,448.0,566.0,6165.978,27.324,33.229,91.186,0.322,0.406,0.94,,,,,,,,,835401.0,118572192.0,85.095,0.6,1118441.0,0.8029999999999999,0.041,24.2,samples tested,,,,,,,,,,,,,,61.57,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.31,95.64,0.0,111.0,0.0
52384,IND,2020-11-23,Asia,India,9177840.0,37975.0,43364.285999999986,134218.0,480.0,528.429,6586.609,27.253,31.121,96.323,0.344,0.379,0.96,,,,,,,,,849596.0,132582730.0,95.15,0.61,983458.0,0.706,0.044,22.7,samples tested,,,,,,,,,,,,,,68.98,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.0,95.95,0.0,111.0,0.0
52398,IND,2020-12-07,Asia,India,9703770.0,26567.0,34423.0,140958.0,385.0,476.714,6964.05,19.066,24.704,101.161,0.276,0.342,0.88,,,,,,,,,801081.0,147787656.0,106.062,0.575,1058240.0,0.759,0.033,30.7,samples tested,,,,,,,,,,,,,,68.98,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.0,0.0,0.0,0.35,0.0,0.0,1.73,0.92,97.0,0.0,111.0,0.0
52412,IND,2020-12-21,Asia,India,10075116.0,19556.0,24135.857000000004,146111.0,301.0,343.1430000000001,7230.552,14.035,17.320999999999998,104.859,0.21600000000000005,0.246,0.86,,,,,,,,,900134.0,162098329.0,116.332,0.6459999999999999,1075906.0,0.772,0.022,44.6,samples tested,,,,,,,,,,,,,,68.98,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.0,0.0,0.0,0.48,0.0,0.0,0.86,0.77,97.89,0.0,111.0,0.0
52426,IND,2021-01-04,Asia,India,10356844.0,16375.0,18934.429,149850.0,201.0,242.429,7432.738,11.752,13.589,107.542,0.14400000000000002,0.174,0.88,,,,,,,,,735978.0,175635761.0,126.048,0.528,973958.0,0.6990000000000001,0.019,51.4,samples tested,,,,,,,,,,,,,,68.98,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.23,0.0,0.0,1.49,0.0,0.0,1.38,8.62,88.28,0.0,111.0,0.0
52433,IND,2021-01-11,Asia,India,10479179.0,12584.0,17476.429,151327.0,167.0,211.0,7520.533,9.031,12.542,108.602,0.12,0.151,0.9,,,,,,,,,659209.0,181755831.0,130.44,0.473,874296.0,0.627,0.02,50.0,samples tested,,,,,,,,,,,,,,68.98,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,,,,0.0,0.0,0.0,2.29,0.0,0.0,15.03,1.96,80.72,0.0,111.0,0.0
52447,IND,2021-01-25,Asia,India,10676838.0,9102.0,13573.571000000002,153587.0,117.0,147.286,7662.385999999998,6.532,9.741,110.224,0.084,0.106,0.91,,,,,,,,,570246.0,192337117.0,138.033,0.409,749154.0,0.5379999999999999,0.018000000000000002,55.2,samples tested,2023809.0,2023809.0,,,408305.0,224251.0,0.15,0.15,,,161.0,224251.0,0.016,68.98,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,224251.0,0.016,224251.0,161.0,408305.0,0.0,0.0,0.0,0.91,0.0,0.0,2.89,5.78,90.42,0.0,111.0,0.0
52461,IND,2021-02-08,Asia,India,10847304.0,9110.0,11579.857,155158.0,78.0,96.0,7784.723000000001,6.5379999999999985,8.31,111.351,0.056,0.069,0.96,,,,,,,,,532236.0,201900614.0,144.89700000000005,0.382,686854.0,0.493,0.017,59.3,samples tested,6259008.0,6259008.0,,,446646.0,329836.0,0.45,0.45,,,237.0,329836.0,0.024,61.57,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,329836.0,0.024,329836.0,237.0,446646.0,0.59,0.0,0.0,5.09,0.0,0.0,5.45,6.87,82.0,0.0,111.0,0.0
52475,IND,2021-02-22,Asia,India,11016434.0,10584.0,12960.571000000002,156463.0,78.0,92.857,7906.102,7.596,9.301,112.288,0.056,0.067,1.1,,,,,,,,,620216.0,211551746.0,151.82299999999995,0.445,690730.0,0.496,0.019,53.3,samples tested,11424094.0,10308552.0,1115542.0,,338921.0,415332.0,0.82,0.74,0.08,,298.0,269986.0,0.019,61.57,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,269986.0,0.019,415332.0,298.0,338921.0,0.33,0.0,0.0,12.61,0.0,0.59,6.57,12.48,67.42,0.0,111.0,0.0
52489,IND,2021-03-08,Asia,India,11244786.0,15388.0,17179.857,157930.0,77.0,97.429,8069.982,11.043,12.329,113.341,0.055,0.07,1.22,,,,,,,,,,,,,744982.0,0.535,0.023,43.4,samples tested,23008733.0,18943283.0,4065450.0,,2019723.0,1164942.0,1.65,1.36,0.29,,836.0,955278.0,0.069,63.43,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,955278.0,0.069,1164942.0,836.0,2019723.0,1.25,0.04,0.0,23.02,0.0,2.06,4.02,17.97,51.64,0.0,111.0,0.0
52503,IND,2021-03-22,Asia,India,11686796.0,40715.0,39566.429,160166.0,199.0,187.143,8387.197,29.22,28.395,114.945,0.14300000000000002,0.134,1.41,,,,,,,,,,234445774.0,168.253,,1005480.0,0.722,0.039,25.4,samples tested,48494594.0,40631153.0,7863441.0,,3428596.0,2221023.0,3.48,2.92,0.56,,1594.0,1935953.0,0.139,57.87,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,1935953.0,0.139,2221023.0,1594.0,3428596.0,1.37,0.0,0.0,29.43,0.0,1.57,7.52,34.23,25.88,0.0,111.0,0.0
52517,IND,2021-04-05,Asia,India,12686049.0,96982.0,84313.429,165547.0,446.0,490.429,9104.325,69.601,60.50899999999999,118.807,0.32,0.35200000000000004,1.46,,,,,,,,,893749.0,249019657.0,178.713,0.6409999999999999,1022214.0,0.7340000000000001,0.08199999999999999,12.1,samples tested,83110926.0,72277309.0,10833617.0,,4005763.0,3142510.0,5.96,5.19,0.78,,2255.0,2866559.0,0.206,69.91,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,2866559.0,0.206,3142510.0,2255.0,4005763.0,1.09,0.0,0.05,29.64,0.02,1.27,24.02,23.5,20.41,0.0,111.0,0.0
52531,IND,2021-04-19,Asia,India,15320972.0,259167.0,233074.143,180530.0,1761.0,1353.1429999999998,10995.316,185.995,167.269,129.56,1.264,0.971,1.41,,,,,,,,,1356133.0,267894549.0,192.258,0.973,1441080.0,1.034,0.162,6.2,samples tested,127129113.0,109659181.0,17469932.0,,3276547.0,2656575.0,9.12,7.87,1.25,,1907.0,2088020.0,0.15,73.61,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,2088020.0,0.15,2656575.0,1907.0,3276547.0,0.55,0.0,0.0,18.74,0.0,0.32,57.86,9.34,13.19,0.0,111.0,0.0
52545,IND,2021-05-03,Asia,India,20282833.0,357316.0,378092.429,222408.0,3449.0,3502.0,14556.266,256.433,271.343,159.614,2.475,2.513,1.14,,,,,,,,,1504698.0,291647037.0,209.305,1.08,1760837.0,1.264,0.215,4.7,samples tested,156082136.0,127696675.0,28385461.0,,1870625.0,1936741.0,11.2,9.16,2.04,,1390.0,1115775.0,0.08,73.61,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,1115775.0,0.08,1936741.0,1390.0,1870625.0,0.44,0.0,0.0,6.43,0.0,0.12,75.93,6.69,10.39,0.0,111.0,0.0
52559,IND,2021-05-17,Asia,India,25228996.0,263533.0,319497.0,278719.0,4329.0,4103.857,18105.951,189.128,229.292,200.027,3.107,2.945,0.87,,,,,,,,,,316423658.0,227.086,,1810512.0,1.2990000000000002,0.17600000000000002,5.7,samples tested,183817204.0,143090218.0,40726986.0,,1566198.0,1816898.0,13.19,10.27,2.92,,1304.0,1128315.0,0.081,81.94,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,1128315.0,0.081,1816898.0,1304.0,1566198.0,0.19,0.0,0.02,2.61,0.0,0.19,91.24,1.43,4.32,0.0,111.0,0.0
52573,IND,2021-05-31,Asia,India,28175044.0,127510.0,175167.143,331895.0,2795.0,3523.429,20220.225,91.509,125.711,238.189,2.006,2.529,0.71,,,,,,,,,1683135.0,344866883.0,247.499,1.208,2047260.0,1.469,0.086,11.7,samples tested,210449895.0,167191085.0,43258810.0,,1784772.0,2326312.0,15.1,12.0,3.1,,1670.0,2127083.0,0.153,81.94,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,2127083.0,0.153,2326312.0,1670.0,1784772.0,0.13,0.0,0.0,0.56,0.0,0.07,95.73,0.47,3.04,0.0,111.0,0.0
52587,IND,2021-06-14,Asia,India,29570881.0,60471.0,82058.286,377031.0,2726.0,3674.571,21221.967,43.398,58.89,270.582,1.956,2.637,0.68,,,,,,,,,1492152.0,379624626.0,272.443,1.071,1898645.0,1.3630000000000002,0.043,23.1,samples tested,252760364.0,205571046.0,47189318.0,,3329948.0,3181387.0,18.14,14.75,3.39,,2283.0,2867067.0,0.206,81.94,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,2867067.0,0.206,3181387.0,2283.0,3329948.0,0.05,0.0,0.0,0.5,0.0,0.08,95.45,0.52,3.4,0.0,111.0,0.0
52601,IND,2021-06-28,Asia,India,30316897.0,37566.0,48433.71400000001,397637.0,907.0,1190.714,21757.356,26.96,34.759,285.37,0.6509999999999999,0.855,0.79,,,,,,,,,2106178.0,406371279.0,291.638,1.5119999999999998,1994785.0,1.432,0.024,41.2,samples tested,321423578.0,265545768.0,55877810.0,,3393166.0,5444234.0,23.07,19.06,4.01,,3907.0,4685851.0,0.336,81.94,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,4685851.0,0.336,5444234.0,3907.0,3393166.0,0.18,0.0,0.0,0.43,0.0,0.0,96.25,0.22,2.92,0.0,111.0,0.0
