,iso_code,date,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,daily_vaccinations_raw,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,Omicron
131714,USA,2020-08-03,North America,United States,4716762.0,45284.0,59845.857,155963.0,559.0,1038.429,14168.063999999997,136.023,179.763,468.477,1.679,3.119,0.92,14250.0,42.804,45305.0,136.086,,,,,777034.0,67639283.0,203.173,2.334,890251.0,2.674,0.067,14.9,tests performed,,,,,,,,,,,,,,67.13,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7786.0,0.0,0.0,0.0
131728,USA,2020-08-17,North America,United States,5441874.0,35662.0,49632.571,170355.0,469.0,1011.571,16346.133,107.12,149.085,511.707,1.409,3.039,0.88,11971.0,35.958,39047.0,117.288,,,,,676821.0,79618382.0,239.155,2.033,842336.0,2.53,0.059,17.0,tests performed,,,,,,,,,,,,,,67.13,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5902.0,0.0,0.0,0.0
131742,USA,2020-08-31,North America,United States,6025460.0,32614.0,41312.571,183383.0,494.0,913.429,18099.09,97.965,124.093,550.84,1.484,2.744,0.95,9513.0,28.575,31403.0,94.327,,,,,661681.0,91509794.0,274.874,1.988,858059.0,2.577,0.048,20.8,tests performed,,,,,,,,,,,,,,67.13,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4680.0,0.0,0.0,0.0
131756,USA,2020-09-14,North America,United States,6556079.0,33167.0,36219.143,194311.0,423.0,746.429,19692.947,99.626,108.794,583.665,1.271,2.242,1.03,8267.0,24.832,26794.0,80.483,,,,,708511.0,103288053.0,310.253,2.128,859116.0,2.5810000000000004,0.042,23.7,tests performed,,,,,,,,,,,,,,62.5,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,,,,,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4272.0,0.0,0.0,0.0
131770,USA,2020-09-28,North America,United States,7151789.0,32449.0,41509.857,205046.0,341.0,765.429,21482.323,97.469,124.686,615.911,1.024,2.299,1.02,7915.0,23.775,27020.0,81.16199999999998,,,,,667901.0,116866891.0,351.041,2.006,967324.0,2.906,0.043,23.3,tests performed,,,,,,,,,,,,,,62.5,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,,,,,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4913.0,0.0,0.0,0.0
131784,USA,2020-10-12,North America,United States,7815536.0,41732.0,50915.143,215274.0,398.0,728.571,23476.065,125.353,152.937,646.633,1.196,2.188,1.11,9057.0,27.205,32779.0,98.461,,,,,809396.0,132026951.0,396.578,2.431,1161938.0,3.49,0.044,22.8,tests performed,,,,,,,,,,,,,,62.5,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,,,,,,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5297.0,0.0,0.0,0.0
131798,USA,2020-10-26,North America,United States,8731678.0,65976.0,70870.286,226472.0,522.0,837.2860000000002,26227.944,198.177,212.878,680.27,1.568,2.515,1.19,11111.0,33.375,41334.0,124.158,,,,,954738.0,148403267.0,445.769,2.8680000000000003,1240619.0,3.727,0.057,17.5,tests performed,,,,,,,,,,,,,,62.5,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,,,,,,0.0,39.0,0.0,0.0,0.0,0.0,0.0,4.0,7137.0,0.0,0.0,0.0
131812,USA,2020-11-09,North America,United States,10214506.0,118049.0,122196.143,240110.0,759.0,1076.429,30682.017000000003,354.592,367.049,721.235,2.28,3.233,1.26,14409.0,43.28100000000001,58481.0,175.66299999999995,,,,,1223919.0,167431988.0,502.927,3.676,1437245.0,4.317,0.085,11.8,tests performed,,,,,,,,,,,,,,65.28,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,,,,,,0.0,66.0,0.0,0.0,0.0,0.0,0.0,7.0,11850.0,0.0,0.0,0.0
131826,USA,2020-11-23,North America,United States,12548086.0,171948.0,175935.57100000003,259762.0,1073.0,1630.571,37691.553,516.492,528.47,780.265,3.2230000000000003,4.898,1.09,20176.0,60.604,84173.0,252.836,,,,,1672957.0,191987492.0,576.686,5.025,1882975.0,5.6560000000000015,0.093,10.7,tests performed,,,,,,,,,,,,,,75.46,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,,,,,,0.0,167.0,0.0,0.0,1.0,0.0,0.0,6.0,13134.0,0.0,0.0,0.0
131840,USA,2020-12-07,North America,United States,15136211.0,190149.0,207041.429,287142.0,1559.0,2330.714,45465.682,571.164,621.905,862.508,4.683,7.001,1.12,23892.0,71.766,101027.0,303.462,,,,,1540021.0,215892672.0,648.492,4.626,1818324.0,5.4620000000000015,0.114,8.8,tests performed,,,,,,,,,,,,,,71.76,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,,,,,,0.0,504.0,0.0,0.0,9.0,0.0,0.0,5.0,12358.0,0.0,0.0,0.0
131854,USA,2020-12-21,North America,United States,18199302.0,189717.0,218081.143,324546.0,1797.0,2776.0,54666.5,569.866,655.065,974.861,5.398,8.338,0.97,26431.0,79.393,114648.0,344.376,,,,,1528420.0,241243702.0,724.64,4.591,1801512.0,5.4110000000000005,0.121,8.3,tests performed,1585553.0,1546594.0,9013.0,,380698.0,222661.0,0.48,0.47,0.0,,671.0,217601.0,0.066,71.76,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,217601.0,0.066,222661.0,671.0,380698.0,0.0,1030.0,0.0,0.0,20.0,0.0,0.0,18.0,14371.0,0.0,0.0,0.0
131868,USA,2021-01-04,North America,United States,21011493.0,181668.0,218598.57100000003,359964.0,1980.0,2726.571,63113.673,545.689,656.62,1081.249,5.947,8.19,1.1,28266.0,84.905,127426.0,382.758,,,,,1407530.0,262514514.0,788.533,4.228,1543981.0,4.638,0.142,7.1,tests performed,6742279.0,6539212.0,86063.0,,650426.0,443291.0,2.03,1.97,0.03,,1335.0,425855.0,0.128,71.76,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,425855.0,0.128,443291.0,1335.0,650426.0,3.0,1922.0,0.0,0.0,72.0,1.0,0.0,160.0,18710.0,0.0,0.0,0.0
131875,USA,2021-01-11,North America,United States,22775512.0,210836.0,252002.714,382905.0,1836.0,3277.286,68412.378,633.303,756.9580000000002,1150.158,5.515,9.844,1.02,28739.0,86.325,127639.0,383.398,,,,,1529477.0,275650293.0,827.99,4.5939999999999985,1876540.0,5.6370000000000005,0.134,7.4,tests performed,12787851.0,11062466.0,1497543.0,,1064093.0,863653.0,3.85,3.33,0.45,,2601.0,646179.0,0.195,71.76,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,646179.0,0.195,863653.0,2601.0,1064093.0,4.0,2999.0,1.0,0.0,81.0,3.0,1.0,195.0,14989.0,0.0,0.0,0.0
131889,USA,2021-01-25,North America,United States,25421966.0,142118.0,169478.28600000002,427990.0,1770.0,3134.429,76361.715,426.89,509.074,1285.583,5.317,9.415,0.85,25003.0,75.10300000000002,106268.0,319.205,,,,,1233557.0,299663678.0,900.12,3.705,1679202.0,5.044,0.101,9.9,tests performed,28585187.0,23467428.0,4626252.0,,1368445.0,1263597.0,8.61,7.07,1.39,,3806.0,963128.0,0.29,71.76,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,963128.0,0.29,1263597.0,3806.0,1368445.0,10.0,7247.0,8.0,0.0,245.0,26.0,0.0,659.0,29389.0,1.0,0.0,0.0
131903,USA,2021-02-08,North America,United States,27226073.0,85010.0,111488.857,470857.0,1451.0,2953.286,81780.836,255.35,334.88699999999994,1414.346,4.3580000000000005,8.871,0.78,19328.0,58.057,76870.0,230.9,,,,,1049070.0,321176518.0,964.74,3.151,1501014.0,4.509,0.07400000000000001,13.5,tests performed,50723022.0,37342279.0,12399448.0,,1572109.0,1690344.0,15.28,11.25,3.73,,5091.0,994077.0,0.299,68.06,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,994077.0,0.299,1690344.0,5091.0,1572109.0,41.0,8199.0,5.0,0.0,783.0,43.0,0.0,1679.0,23793.0,8.0,0.0,0.0
131917,USA,2021-02-22,North America,United States,28297036.0,54839.0,66336.571,501440.0,1201.0,1941.857,84997.761,164.72400000000005,199.26,1506.21,3.608,5.832999999999998,0.85,13671.0,41.065,53026.0,159.278,,,,,1043475.0,338232157.0,1015.971,3.134,1185134.0,3.56,0.056,17.9,tests performed,73969298.0,49043061.0,23389345.0,,1459789.0,1537186.0,22.28,14.77,7.04,,4630.0,702693.0,0.212,68.06,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,702693.0,0.212,1537186.0,4630.0,1459789.0,85.0,7533.0,23.0,0.0,1249.0,23.0,0.0,3533.0,22847.0,13.0,0.0,0.0
131931,USA,2021-03-08,North America,United States,29178564.0,44312.0,57898.0,526648.0,705.0,1590.8570000000002,87645.668,133.10299999999998,173.912,1581.929,2.1180000000000003,4.779,0.89,9790.0,29.407,37687.0,113.203,,,,,980993.0,356402233.0,1070.55,2.947,1287888.0,3.869,0.045,22.2,tests performed,106199669.0,68020236.0,36687273.0,,2154853.0,2412459.0,31.99,20.49,11.05,,7266.0,1529807.0,0.461,64.35,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,1529807.0,0.461,2412459.0,7266.0,2154853.0,172.0,7546.0,134.0,3.0,2121.0,111.0,2.0,8382.0,20912.0,20.0,0.0,0.0
131945,USA,2021-03-22,North America,United States,29942716.0,49481.0,53991.28599999999,542506.0,533.0,1038.286,89941.004,148.629,162.17700000000005,1629.563,1.601,3.119,1.03,8347.0,25.072,33742.0,101.353,,,,,978294.0,373568439.0,1122.113,2.939,1219270.0,3.662,0.044,22.6,tests performed,142611645.0,92160960.0,50701659.0,,2357536.0,2612741.0,42.95,27.76,15.27,,7869.0,1757751.0,0.529,66.2,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,1757751.0,0.529,2612741.0,7869.0,2357536.0,328.0,8174.0,554.0,23.0,4482.0,185.0,9.0,18881.0,19562.0,59.0,9.0,0.0
131959,USA,2021-04-05,North America,United States,30858028.0,73448.0,64785.143,555011.0,471.0,797.2860000000002,92690.39,220.621,194.6,1667.125,1.415,2.395,1.05,8849.0,26.58,36624.0,110.01,,,,,950433.0,390624107.0,1173.345,2.855,1199651.0,3.603,0.054000000000000006,18.5,tests performed,185384708.0,116970973.0,70134941.0,,3089588.0,3147514.0,55.84,35.23,21.12,,9480.0,1790478.0,0.539,56.94,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,1790478.0,0.539,3147514.0,9480.0,3089588.0,513.0,6925.0,2043.0,43.0,7859.0,259.0,41.0,35503.0,15104.0,93.0,33.0,0.0
131973,USA,2021-04-19,North America,United States,31813414.0,66173.0,67423.857,567003.0,504.0,731.429,95560.149,198.768,202.526,1703.146,1.514,2.197,0.94,9828.0,29.521,40212.0,120.788,,,,,1019340.0,408395252.0,1226.725,3.062,1266641.0,3.805,0.053,18.8,tests performed,230228303.0,140770751.0,93993351.0,,2557804.0,2925620.0,69.34,42.4,28.31,,8812.0,1387475.0,0.418,56.94,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,1387475.0,0.418,2925620.0,8812.0,2557804.0,672.0,4909.0,4234.0,126.0,9058.0,283.0,241.0,49213.0,11415.0,151.0,86.0,0.0
131987,USA,2021-05-03,North America,United States,32549750.0,48771.0,49770.571,576887.0,473.0,701.429,97771.932,146.497,149.499,1732.835,1.421,2.107,0.86,9209.0,27.662,33964.0,102.02,,,,,896462.0,425318686.0,1277.559,2.693,1172943.0,3.523,0.042,23.6,tests performed,265700671.0,154968225.0,115315316.0,,1952296.0,2354612.0,80.03,46.68,34.73,,7092.0,882958.0,0.266,56.94,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,882958.0,0.266,2354612.0,7092.0,1952296.0,553.0,2561.0,5250.0,95.0,6954.0,232.0,821.0,44795.0,6627.0,183.0,213.0,0.0
132001,USA,2021-05-17,North America,United States,33048554.0,27769.0,32209.857000000004,585643.0,394.0,586.714,99270.224,83.412,96.751,1759.136,1.183,1.7619999999999998,0.79,7299.0,21.925,25563.0,76.785,,,,,797505.0,439951957.0,1321.514,2.396,999733.0,3.003,0.032,31.0,tests performed,292726022.0,165037761.0,133029022.0,,1809543.0,1900456.0,88.17,49.71,40.07,,5724.0,804659.0,0.242,52.31,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,804659.0,0.242,1900456.0,5724.0,1809543.0,391.0,1211.0,4914.0,32.0,4438.0,113.0,1239.0,34153.0,4347.0,149.0,314.0,0.0
132015,USA,2021-05-31,North America,United States,33345042.0,6015.0,17471.429,593694.0,158.0,593.714,100160.806,18.068,52.48,1783.32,0.475,1.783,0.72,5542.0,16.647000000000002,18678.0,56.104,,,,,316186.0,451310890.0,1355.634,0.95,734717.0,2.207,0.024,42.1,tests performed,311136071.0,173815874.0,143371436.0,,197913.0,975430.0,93.71,52.35,43.18,,2938.0,460335.0,0.139,46.76,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,460335.0,0.139,975430.0,2938.0,197913.0,197.0,354.0,3261.0,5.0,2168.0,37.0,1892.0,18061.0,2422.0,110.0,377.0,0.0
132029,USA,2021-06-14,North America,United States,33552973.0,12144.0,13920.143,599466.0,180.0,332.571,100785.382,36.478,41.813,1800.6570000000004,0.541,0.999,0.84,4068.0,12.219,13929.0,41.839,,,,,596480.0,461412800.0,1385.977,1.7919999999999998,685471.0,2.059,0.02,49.2,tests performed,325602145.0,179079470.0,153082986.0,,902362.0,981379.0,98.07,53.94,46.11,,2956.0,338195.0,0.102,58.8,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,338195.0,0.102,981379.0,2956.0,902362.0,52.0,114.0,2301.0,1.0,1038.0,27.0,4688.0,9836.0,1525.0,73.0,586.0,0.0
132043,USA,2021-06-28,North America,United States,33722614.0,14536.0,12797.0,603616.0,152.0,284.571,101294.945,43.663,38.439,1813.123,0.457,0.855,1.04,3617.0,10.865,12510.0,37.577,,,,,547816.0,470109636.0,1412.101,1.646,610552.0,1.834,0.021,47.7,tests performed,334938617.0,183130798.0,158770849.0,,548262.0,605502.0,100.88,55.16,47.82,,1824.0,280028.0,0.084,61.57,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,280028.0,0.084,605502.0,1824.0,548262.0,17.0,41.0,1903.0,1.0,492.0,7.0,11272.0,6440.0,1207.0,89.0,779.0,0.0
132057,USA,2021-07-12,North America,United States,33972600.0,33615.0,23678.714,606986.0,239.0,253.571,102045.845,100.972,71.125,1823.246,0.718,0.762,1.48,4883.0,14.667,17330.0,52.055,,,,,586422.0,477896590.0,1435.491,1.761,595300.0,1.788,0.04,25.1,tests performed,341655136.0,186521863.0,162372107.0,,515375.0,494577.0,102.91,56.18,48.91,,1490.0,253602.0,0.076,49.54,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,253602.0,0.076,494577.0,1490.0,515375.0,17.0,15.0,1491.0,0.0,275.0,2.0,29170.0,3731.0,1036.0,92.0,917.0,0.0
132071,USA,2021-07-26,North America,United States,34626086.0,86522.0,57508.0,610768.0,265.0,281.0,104008.766,259.892,172.741,1834.606,0.7959999999999999,0.8440000000000001,1.49,9448.0,28.38,35748.0,107.379,,,,,783230.0,488006366.0,1465.858,2.353,792155.0,2.379,0.073,13.8,tests performed,349023665.0,191043108.0,165449993.0,,638675.0,567003.0,105.12,57.54,49.83,,1708.0,372982.0,0.112,49.54,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,372982.0,0.112,567003.0,1708.0,638675.0,14.0,7.0,1140.0,0.0,103.0,1.0,73706.0,2151.0,968.0,93.0,1134.0,0.0
132085,USA,2021-08-09,North America,United States,36050191.0,179736.0,117538.286,617169.0,506.0,520.429,108286.448,539.885,353.05800000000005,1853.833,1.52,1.5630000000000002,1.31,17707.0,53.188,69838.0,209.777,,,,,1129806.0,502716771.0,1510.045,3.394,1161278.0,3.488,0.101,9.9,tests performed,358401665.0,197546965.0,168609493.0,,775223.0,698014.0,107.95,59.5,50.78,,2102.0,485310.0,0.146,49.54,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,485310.0,0.146,698014.0,2102.0,775223.0,5.0,4.0,832.0,0.0,54.0,0.0,141397.0,1120.0,989.0,73.0,795.0,0.0
132099,USA,2021-08-23,North America,United States,38065190.0,237400.0,150653.571,629918.0,1385.0,1079.143,114339.04,713.095,452.529,1892.128,4.16,3.241,1.13,24559.0,73.77,94681.0,284.4,,,,,1317753.0,521730763.0,1567.159,3.958,1402335.0,4.212,0.107,9.3,tests performed,369397901.0,203645558.0,173045531.0,756431.0,909283.0,833124.0,111.26,61.34,52.12,0.23,2509.0,420802.0,0.127,56.02,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,420802.0,0.127,833124.0,2509.0,909283.0,2.0,77.0,270.0,1.0,18.0,0.0,127812.0,258.0,549.0,31.0,272.0,0.0
132113,USA,2021-09-06,North America,United States,40158154.0,78057.0,139370.429,649401.0,590.0,1424.714,120625.821,234.465,418.637,1950.651,1.7719999999999998,4.28,0.96,25801.0,77.5,95909.0,288.088,,,,,823052.0,544112369.0,1634.388,2.472,1567545.0,4.709,0.08900000000000001,11.2,tests performed,380287453.0,208727030.0,177960760.0,1867355.0,172817.0,688693.0,114.54,62.87,53.6,0.56,2074.0,314681.0,0.095,52.31,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,314681.0,0.095,688693.0,2074.0,172817.0,2.0,1.0,100.0,0.0,3.0,0.0,133175.0,77.0,771.0,7.0,135.0,0.0
132127,USA,2021-09-20,North America,United States,42332050.0,194888.0,139432.857,677003.0,2356.0,2027.857,127155.702,585.399,418.824,2033.561,7.077000000000001,6.091,0.91,23686.0,71.14699999999998,83675.0,251.34,,,,,1373357.0,567239881.0,1703.858,4.125,1657315.0,4.978,0.084,11.9,tests performed,390173900.0,212909806.0,182896939.0,2818416.0,675481.0,658302.0,117.52,64.13,55.09,0.85,1983.0,269072.0,0.081,56.02,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,269072.0,0.081,658302.0,1983.0,675481.0,0.0,46.0,46.0,0.0,5.0,0.0,130057.0,50.0,715.0,1.0,73.0,0.0
132141,USA,2021-10-04,North America,United States,43894148.0,154964.0,105092.143,704946.0,2033.0,1907.143,131847.884,465.476,315.673,2117.495,6.107,5.729,0.89,18668.0,56.074,64470.0,193.653,,,,,1260629.0,589493740.0,1770.703,3.787,1567101.0,4.707,0.067,14.9,tests performed,401687245.0,216466598.0,186706414.0,7065272.0,951704.0,928866.0,120.99,65.2,56.24,2.13,2798.0,257243.0,0.077,56.02,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,257243.0,0.077,928866.0,2798.0,951704.0,2.0,0.0,17.0,0.0,1.0,0.0,105664.0,4.0,385.0,0.0,29.0,0.0
132155,USA,2021-10-18,North America,United States,45094862.0,104766.0,84945.286,728028.0,1813.0,1749.714,135454.551,314.693,255.156,2186.828,5.4460000000000015,5.256,0.88,16486.0,49.52,51723.0,155.364,,,,,1206872.0,610171693.0,1832.815,3.625,1446173.0,4.3439999999999985,0.059,17.0,tests performed,412585700.0,219500792.0,189587884.0,12146545.0,800320.0,740946.0,124.27,66.11,57.1,3.66,2232.0,208515.0,0.063,56.02,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,208515.0,0.063,740946.0,2232.0,800320.0,0.0,2.0,9.0,0.0,1.0,0.0,99682.0,4.0,436.0,0.0,7.0,0.0
132169,USA,2021-11-01,North America,United States,46122948.0,115606.0,74141.857,748483.0,1266.0,1295.714,138542.684,347.254,222.705,2248.27,3.803,3.892,0.99,12108.0,36.37,42619.0,128.018,,,,,1039706.0,629379003.0,1890.509,3.123,1334149.0,4.007,0.056,18.0,tests performed,427891732.0,223066762.0,192005204.0,21592812.0,1366791.0,1265017.0,128.88,67.19,57.83,6.5,3810.0,280137.0,0.084,50.46,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,280137.0,0.084,1265017.0,3810.0,1366791.0,0.0,0.0,3.0,0.0,0.0,0.0,92500.0,3.0,412.0,0.0,5.0,0.0
132183,USA,2021-11-15,North America,United States,47224576.0,138962.0,83931.429,765204.0,1294.0,1193.571,141851.72,417.41,252.111,2298.496,3.887,3.585,1.11,11534.0,34.645,43285.0,130.018,,,,,1226076.0,649192139.0,1950.023,3.683,1408822.0,4.232,0.06,16.8,tests performed,446648031.0,229130445.0,194107808.0,32324925.0,1461532.0,1378510.0,134.53,69.01,58.46,9.74,4152.0,500677.0,0.151,44.91,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,500677.0,0.151,1378510.0,4152.0,1461532.0,0.0,0.0,0.0,0.0,0.0,0.0,64081.0,1.0,116.0,0.0,2.0,0.0
132197,USA,2021-11-29,North America,United States,48438876.0,196973.0,78547.714,778705.0,1962.0,835.2860000000002,145499.197,591.661,235.939,2339.05,5.893,2.509,1.22,13380.0,40.19,51829.0,155.68200000000004,,,,,341749.0,665107373.0,1997.829,1.027,841514.0,2.528,0.093,10.7,tests performed,463775333.0,234206691.0,196175752.0,42428183.0,1484033.0,982750.0,139.69,70.54,59.09,12.78,2960.0,267106.0,0.08,50.46,332915074.0,35.60800000000001,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,267106.0,0.08,982750.0,2960.0,1484033.0,0.0,0.0,0.0,0.0,0.0,0.0,8388.0,0.0,5.0,0.0,0.0,2.0
135411,VNM,2021-05-17,Asia,Vietnam,4359.0,147.0,124.286,37.0,0.0,0.28600000000000003,44.403,1.497,1.266,0.377,0.0,0.003,1.65,,,,,,,,,,,,,27427.0,0.279,0.005,220.7,samples tested,,,,,,14695.0,,,,,150.0,14286.0,0.015,71.76,98168829.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.84700000000002,2.6,75.4,0.7040000000000001,,,,,14286.0,0.015,14695.0,150.0,,0.0,0.0,0.0,0.0,0.0,0.0,56.0,2.0,0.0,0.0,0.0,0.0
135481,VNM,2021-07-26,Asia,Vietnam,106347.0,5174.0,6595.286,524.0,154.0,27.143,1083.307,52.705,67.183,5.337999999999999,1.569,0.276,1.45,,,,,,,,,,,,,104226.0,1.062,0.063,15.8,samples tested,4746642.0,4323571.0,423071.0,,133151.0,63020.0,4.84,4.4,0.43,,642.0,46837.0,0.048,79.17,98168829.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.84700000000002,2.6,75.4,0.7040000000000001,,,,,46837.0,0.048,63020.0,642.0,133151.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0
135495,VNM,2021-08-09,Asia,Vietnam,224894.0,9334.0,9626.714,3757.0,360.0,350.1430000000001,2290.89,95.081,98.063,38.271,3.667,3.567,1.17,,,,,,,,,103066.0,9644837.0,98.247,1.05,120457.0,1.227,0.08,12.5,samples tested,9987587.0,8984300.0,1003287.0,,581768.0,432627.0,10.17,9.15,1.02,,4407.0,391138.0,0.398,79.17,98168829.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.84700000000002,2.6,75.4,0.7040000000000001,,,,,391138.0,0.398,432627.0,4407.0,581768.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0
