,iso_code,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,daily_vaccinations_raw,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Year,Mu
1861,IRN,2021-11,6011556.1,7423.0,7965.864199999999,127716.1,127.45,133.54274999999998,70700.26779999999,87.29975000000002,93.68445,1502.0341,1.4988999999999997,1.57055,0.907,,,,,,,,,122224.88888888889,36540989.28571428,429.7485714285714,1.4375555555555557,107482.8947368421,1.264157894736842,0.07605555555555553,13.338888888888892,93995334.5,54712148.75,39054025.25,229160.5,,922884.4615384615,110.54750000000001,64.345,45.93000000000001,0.27,10853.846153846154,267159.76923076925,0.31430769230769234,72.69000000000003,85028760.0,49.83100000000001,32.39999999999999,5.439999999999999,3.182000000000001,19082.62,0.20000000000000004,270.308,9.590000000000002,0.8000000000000002,21.100000000000005,,1.5,76.68000000000004,0.7829999999999998,252925.6,35.22,33.6,2974.588833,267159.76923076925,0.31430769230769234,922884.4615384615,10853.846153846154,,,,,,,,,,,,,
1883,IRQ,2021-11,2065943.3,929.35,990.5644,23427.05,23.6,24.842849999999995,50169.39920000001,22.5682,24.054800000000004,568.9029499999999,0.5730999999999999,0.6033499999999997,0.8470000000000001,,,,,,,,,17192.875,15987347.833333334,388.2369999999999,0.41750000000000004,17988.29411764706,0.4367058823529413,0.05700000000000002,17.74705882352941,10219428.0,6397559.5,3821868.5,,,84997.66666666667,24.814999999999998,15.535,9.280000000000001,,2063.9333333333334,50747.6,0.12340000000000005,66.67000000000004,41179351.0,88.125,20.0,3.186,1.9570000000000003,15663.985999999999,2.5,218.61200000000002,8.830000000000002,,,94.57600000000001,1.3999999999999995,70.6,0.6739999999999999,,,,,50747.6,0.12340000000000005,84997.66666666667,2063.9333333333334,,,,,,,,,,,,,
1905,ISL,2021-11,15032.2,147.15,133.40005000000002,33.95,0.05,0.05005,43779.70645,428.55895,388.51334999999995,98.87539999999998,0.1456,0.1456,1.433,,,18.0,52.4231,2.8289999999999997,8.2385,14.144,41.194,2643.8333333333335,706073.7777777778,2056.3657222222223,7.699833333333334,2436.277777777778,7.0955,,,588614.75,283911.0,279604.25,79802.25,,1141.8333333333333,171.4275,82.6875,81.43,23.2425,3325.3888888888887,64.11111111111111,0.018500000000000003,29.36714285714285,343360.0,3.4039999999999986,37.29999999999999,14.431000000000003,9.206999999999997,46482.95799999999,0.20000000000000004,117.992,5.3100000000000005,14.300000000000006,15.199999999999994,,2.909999999999999,82.99,0.9490000000000002,,,,,64.11111111111111,0.018500000000000003,1141.8333333333333,3325.3888888888887,,,,,,,,,,,,,
1927,ISR,2021-11,1335602.45,631.3,636.8,8131.65,2.7,3.5786000000000002,143752.28174999997,67.94749999999999,68.53940000000001,875.2180500000001,0.2906,0.38520000000000004,0.7999999999999999,115.94736842105263,13.191105263157894,237.52631578947367,27.023,47.0,5.347,101.5,11.5475,74984.8947368421,30845542.157894738,3319.9377894736845,8.070684210526315,75669.73684210527,8.144315789473684,0.0085,129.3222222222222,16013304.2,6254262.3,5751283.55,4007758.35,6797.6,7495.45,172.35150000000002,67.31500000000003,61.90049999999999,43.135,806.65,1347.85,0.014500000000000008,55.16315789473686,9291000.0,402.6059999999999,30.600000000000012,11.733000000000002,7.358999999999999,33132.31999999999,0.5,93.31999999999996,6.739999999999999,15.4,35.39999999999999,,2.990000000000001,82.97000000000001,0.9190000000000003,,,,,1347.85,0.014500000000000008,7495.45,806.65,6797.6,0.0,0.0,0.0,0.0,0.0,0.0,99.845,0.0,0.155,0.0,195.0,0.0
1950,ITA,2021-11,4835775.6,7200.8,6377.7642,132604.25,51.55,48.357099999999996,80105.65155,119.28285000000001,105.649,2196.6177,0.85395,0.8010999999999999,1.27,409.64285714285717,6.785928571428572,3692.785714285714,61.171785714285726,249.5005,4.133,1696.9070000000002,28.1095,480409.6111111111,108539497.77777778,1797.9797777777776,7.957999999999998,467024.8333333333,7.736333333333334,0.013000000000000003,79.30555555555556,91622359.6,46800794.65,43638880.1,2676293.1,177347.1,166790.25,151.77550000000002,77.52650000000001,72.2875,4.433,2762.95,17357.25,0.028850000000000008,71.29999999999998,60367471.0,205.85899999999998,47.899999999999984,23.021000000000008,16.240000000000002,35220.08400000002,2.0,113.151,4.78,19.800000000000004,27.800000000000004,,3.18,83.51,0.8919999999999998,,,,,17357.25,0.028850000000000008,166790.25,2762.95,177347.1,0.0,0.0,0.0,0.0,0.0,0.0,99.70333333333333,0.04666666666666667,0.25,0.0,111.0,0.0
1971,JAM,2021-11,89895.5,80.8,86.30715000000001,2300.0,6.0,6.65,30232.6043,27.17355,29.025649999999995,773.5091,2.01795,2.2365,0.783,,,,,,,,,1005.2727272727273,650580.3846153846,218.79553846153846,0.33818181818181814,1086.2941176470588,0.36523529411764716,0.0816470588235294,12.42941176470588,1014587.5555555555,618424.8333333334,453531.6111111111,,7962.25,7539.3,34.121111111111105,20.798333333333332,15.252222222222223,,2535.55,2530.45,0.08515000000000002,72.48428571428573,2973462.0,266.87899999999996,31.399999999999988,9.684,6.39,8193.570999999998,,206.5369999999999,11.28,5.299999999999999,28.600000000000012,66.42499999999998,1.6999999999999997,74.47000000000001,0.734,,,,,2530.45,0.08515000000000002,7539.3,2535.55,7962.25,,,,,,,,,,,,
1980,JEY,2021-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176790.0,79141.5,74785.25,,,483.5,174.915,78.3025,73.99,,4783.714285714285,26.785714285714285,0.026785714285714277,,101073.0,,,,,,,,,,,,,,,,,,,26.785714285714285,0.026785714285714277,483.5,4783.714285714285,,,,,,,,,,,,,
2001,JOR,2021-11,885066.8,2436.45,2117.9284999999995,11182.85,15.45,14.0358,86188.03215000001,237.26214999999996,206.24449999999996,1088.9888499999997,1.5044499999999998,1.36675,1.1769999999999998,,,,,,,,,38312.4,11330301.2,1103.3477,3.7309999999999994,35523.555555555555,3.4592222222222224,0.057388888888888906,17.572222222222223,7610722.166666667,4019362.1666666665,3591360.0,,13760.3125,13874.95,74.1138888888889,39.14055555555555,34.97222222222223,,1351.0,6813.1,0.06630000000000001,17.59,10269022.0,109.28500000000001,23.199999999999992,3.810000000000001,2.3609999999999993,8337.49,0.10000000000000002,208.257,11.75,,,,1.3999999999999995,74.52999999999999,0.7289999999999996,,,,,6813.1,0.06630000000000001,13874.95,1351.0,13760.3125,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,265.0,0.0
2024,JPN,2021-11,1724213.65,168.6,188.35005,18313.3,3.95,4.828550000000001,13678.720849999998,1.3375,1.4942000000000002,145.2851,0.031500000000000014,0.03835000000000001,0.7100000000000002,,,,,,,,,47085.444444444445,25760354.444444444,204.36483333333334,0.37355555555555553,46261.61111111111,0.36716666666666664,0.004111111111111113,244.1833333333334,193187816.25,98956596.08333333,94231220.16666667,,410927.875,394637.5,153.26166666666668,78.505,74.75666666666667,,3130.777777777778,92170.77777777778,0.07316666666666666,47.22000000000001,126050796.0,347.77800000000013,48.20000000000002,27.04899999999999,18.493,39002.223,,79.36999999999996,5.72,11.199999999999996,33.7,,13.050000000000006,84.63000000000004,0.9190000000000003,,,,,92170.77777777778,0.07316666666666666,394637.5,3130.777777777778,410927.875,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,111.0,0.0
2045,KAZ,2021-11,1034120.55,1275.95,1346.9285,17398.05,27.35,26.52865,54441.84455,67.17314999999999,70.90975,915.9298500000001,1.4398499999999999,1.3965500000000002,0.892,,,,,,,,,,,,,,,,,16195218.1,8464834.25,7730383.85,,38393.15,39476.4,85.26050000000001,44.564499999999995,40.69599999999999,,2078.25,17051.75,0.08979999999999999,71.29999999999998,18994958.0,6.680999999999999,30.600000000000012,6.991,4.625,24055.587999999992,0.10000000000000002,466.7920000000001,7.110000000000001,7.0,43.100000000000016,98.99900000000001,6.700000000000001,73.59999999999998,0.8249999999999996,,,,,17051.75,0.08979999999999999,39476.4,2078.25,38393.15,,,,,,,,,,,,
